Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.4031		1.2523		0.0000		0.3713		0.02387213
2		1.2334		1.2431		0.0000		0.4218		0.02273831
3		1.1776		1.2229		0.0000		0.4600		0.02159817
4		1.1368		1.1169		0.0000		0.4937		0.02045130
5		1.1038		1.1470		0.0000		0.5351		0.01929724
6		1.0821		1.2706		0.0000		0.4704		0.01813545
7		1.0655		1.2453		0.0000		0.5435		0.01696532
8		1.0533		1.1397		0.0000		0.5675		0.01578615
9		1.0385		1.1936		0.0000		0.5194		0.01459709
10		1.0275		1.1805		0.0000		0.5580		0.01339717
11		1.0170		1.2196		0.0000		0.5689		0.01218516
12		1.0050		1.2414		0.0000		0.5882		0.01095958
13		0.9981		1.1898		0.0000		0.5996		0.00971854
14		0.9869		1.2017		0.0000		0.5895		0.00845959
15		0.9809		1.1532		0.0000		0.6009		0.00717936
16		0.9709		1.2356		0.0000		0.5993		0.00587309
17		0.9657		1.2280		0.0000		0.6053		0.00453338
18		0.9599		1.2275		0.0000		0.6172		0.00314731
19		0.9547		1.2366		0.0000		0.6087		0.00168660
20		0.9555		1.2476		0.0000		0.6135		0.00000000
