Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.9557		1.6403		0.0000		0.1623		0.00050000
2		1.4588		1.4588		0.0000		0.1924		0.00050000
3		1.3000		1.2853		0.0000		0.2461		0.00050000
4		1.1705		1.1075		0.0000		0.2868		0.00050000
5		1.0739		1.0713		0.0000		0.2887		0.00050000
6		1.0150		1.0058		0.0000		0.3131		0.00050000
7		0.9270		0.9252		0.0000		0.3392		0.00005000
8		0.9089		0.9154		0.0000		0.3435		0.00005000
9		0.8937		0.9059		0.0000		0.3424		0.00005000
10		0.8854		0.8985		0.0000		0.3474		0.00005000
11		0.8775		0.8854		0.0000		0.3522		0.00005000
12		0.8724		0.8830		0.0000		0.3581		0.00005000
13		0.8634		0.8737		0.0000		0.3590		0.00005000
14		0.8537		0.8700		0.0000		0.3619		0.00000500
15		0.8527		0.8748		0.0000		0.3617		0.00000500
16		0.8472		0.8723		0.0000		0.3582		0.00000500
17		0.8505		0.8712		0.0000		0.3621		0.00000500
18		0.8469		0.8673		0.0000		0.3638		0.00000500
19		0.8483		0.8678		0.0000		0.3630		0.00000500
20		0.8458		0.8679		0.0000		0.3622		0.00000500
