Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2544		0.3575		0.0000		0.7165		0.00050000
2		0.2074		0.3441		0.0000		0.7163		0.00047744
3		0.2044		0.3409		0.0000		0.7196		0.00045477
4		0.2028		0.3444		0.0000		0.7182		0.00043196
5		0.2021		0.3391		0.0000		0.7154		0.00040903
6		0.2024		0.3391		0.0000		0.7186		0.00038594
7		0.2013		0.3415		0.0000		0.7178		0.00036271
8		0.2012		0.3405		0.0000		0.7176		0.00033931
9		0.2009		0.3423		0.0000		0.7164		0.00031572
10		0.2008		0.3398		0.0000		0.7184		0.00029194
11		0.2007		0.3384		0.0000		0.7208		0.00026794
12		0.2007		0.3419		0.0000		0.7156		0.00024370
13		0.2003		0.3446		0.0000		0.7170		0.00021919
14		0.2002		0.3399		0.0000		0.7172		0.00019437
15		0.2005		0.3410		0.0000		0.7177		0.00016919
16		0.2007		0.3437		0.0000		0.7176		0.00014359
17		0.2000		0.3370		0.0000		0.7179		0.00011746
18		0.1995		0.3405		0.0000		0.7167		0.00009067
19		0.2001		0.3402		0.0000		0.7187		0.00006295
20		0.2001		0.3387		0.0000		0.7162		0.00003373
